experiment_index,estimate
1,12908940
2,12916898
3,12939182
4,12964920
5,12973920
6,12981820
7,13000480
8,13006098
9,13033600
10,13058146
11,13058844
12,13061230
13,13068430
14,13068448
15,13074102
16,13075074
17,13081330
18,13083952
19,13087146
20,13088408
21,13088450
22,13099856
23,13101276
24,13107084
25,13113070
26,13138688
27,13145868
28,13150310
29,13157202
30,13157574
31,13157696
32,13157698
33,13179714
34,13187374
35,13198790
36,13198976
37,13199772
38,13205094
39,13209952
40,13210468
41,13213430
42,13221240
43,13225094
44,13227708
45,13227874
46,13233702
47,13235792
48,13237754
49,13241038
50,13242162
51,13243194
52,13243490
53,13245732
54,13254988
55,13258946
56,13259396
57,13268512
58,13275500
59,13276456
60,13277528
61,13278572
62,13285524
63,13287220
64,13290768
65,13291682
66,13292468
67,13294068
68,13297342
69,13304826
70,13307662
71,13309168
72,13314370
73,13319852
74,13320750
75,13323172
76,13327980
77,13335428
78,13344880
79,13346364
80,13355218
81,13357896
82,13359186
83,13360028
84,13360320
85,13363496
86,13368508
87,13371178
88,13388232
89,13395812
90,13402520
91,13409886
92,13412700
93,13448708
94,13450144
95,13486798
96,13491904
97,13506490
98,13512206
99,13572882
100,13628670
